,AR
1088565,FAT-5
1088578,FBXA-105
1088686,FIP-2
1088687,FIPR-10
1088688,FIPR-5
1088689,FIPR-8
1088690,FIPR-9
1088691,FIS-1
1088711,FKH-9
1088743,FMO-4
1088746,FMO-5
1088905,FURINA
1089139,GEI-13
1089140,GEM-4
1089160,GFAT-2
1089188,GIPC-1
1089189,GIPC-2
1089199,GLB-1
1089201,GLD-1
1089210,GLF-1
1089224,GLN-6
1089248,GLY-1
1089361,GPD-1
1089477,GPX1P1
1089506,GRD-14
1089508,GRH-1
1089576,GRL-10
1089577,GRL-15
1089679,GSTK-1
1089736,H05L14.1
1089737,H06I04.5
1089739,H10E21.4
1089741,H12I13.6
1089745,H23N18.5
1089784,H34I24.1
1089785,H36N01.3
1089800,HACD-1
1089834,HANG
1089900,HEPHL1B
1090156,HRDE-1
1090157,HRG-1
1090162,HS3ST1L2
1090216,HSP70.1
1090287,HTAS-1
1090467,IGHT
1090468,IGHV1OR21-1
1090521,IL15L
1090742,IMP-3
1090791,INS-30
1090860,IRLD-8
1090977,K01A2.5
1090978,K01A6.7
1090979,K01H12.4
1090980,K02A6.3
1090981,K02E11.10
1090982,K02E11.7
1090983,K03H1.12
1090984,K03H1.9
1090985,K04G2.4
1090986,K04H4.5
1090987,K05B2.4
1090989,K05F1.9
1090990,K06A1.2
1090991,K06A4.13
1090993,K06C4.20
1090994,K07A12.5
1090995,K07A1.4
1090996,K07A1.5
1090997,K07A1.6
1090998,K07A3.3
1090999,K07B1.4
1091000,K07H8.5
1091001,K07H8.8
1091003,K08C7.4
1091004,K08C9.1
1091005,K08C9.2
1091006,K08E7.5
1091007,K08F4.5
1091008,K09C6.7
1091009,K09C6.8
1091010,K09E4.1
1091011,K10C2.8
1091012,K11D12.13
1091013,K11H3.T2
1091200,KIFL
1091201,KIN-21
1091269,KREG-1
1091326,LAB-1
1091400,LEG1.1
1091423,LFOR-2
1091428,LGC-21
1091429,LGC-22
1091457,LIN-12
1091484,LIPL-1
1091486,LIPL-5
1091487,LIPS-10
1091488,LIPS-15
1091489,LIPS-3
1091490,LIPS-7
1091518,LON-8
1091520,LONP-2
1091671,M117.4
1091672,M28.9
1091673,M60.7
1091674,M70.3
1091675,MAB-7
1091699,MAM-2
1091700,MAM-3
1091721,MAOC-1
1091913,MATH-3
1091937,MBOA-1
1091972,MCTP2B
1091990,MEC-1
1092037,METRNLB
1092049,MEX-1
1092051,MEX-5
1092052,MEX-6
1092135,MIR130A-1
1092143,MIR146B-1
1092145,MIR153A
1092159,MIR216A-1
1092187,MIR461
1092203,MIR606
1092210,MIR732
1092211,MIR736
1092212,MIR738
1092217,MIR936
1092235,MLC-7
1092249,MLT-8
1092250,MLT-9
1092353,MORF4L1-PS1
1092412,MPST-4
1092413,MPST-5
1092414,MPST-6
1092458,MSA-1
1092460,MSD-1
1092487,MSP-42
1092492,MSP-52
1092497,MSP-58
1092501,MSP-71
1092511,MSRP-1
1092512,MSRP-2
1092514,MSRP-5
1092515,MSRP-6
1092587,MTX1B
1092591,MUG4-PS
1092592,MUP-4
1092661,MYO-2
1092690,NAB1A
1092691,NAB1B
1092719,NAS-20
1092720,NAS-29
1092721,NAS-36
1092722,NAS-7
1092865,NEP-10
1092867,NEP-16
1092868,NEP-23
1092869,NEP-8
1093098,NHR-113
1093099,NHR-12
1093100,NHR-161
1093101,NHR-205
1093102,NHR-21
1093103,NHR-234
1093104,NHR-25
1093105,NHR-264
1093106,NHR-267
1093107,NHR-62
1093133,NITR8
1093137,NKB-2
1093144,NLP-26
1093172,NNT-1
1093289,NPR-1
1093449,NSPA-4
1093450,NSPA-5
1093451,NSPA-8
1093452,NSPB-2
1093453,NSPC-1
1093454,NSPC-16
1093455,NSPC-19
1093456,NSPC-2
1093457,NSPC-4
1093458,NSPC-6
1093459,NSPC-7
1093460,NSPD-1
1093461,NSPD-10
1093463,NSPD-3
1093465,NSPD-5
1093466,NSPD-6
1093467,NSPD-7
1093468,NSPG-8
1093469,NSPH-2
1093472,NSPH-4.1
1093473,NSPH-4.2
1093475,NSTP-8
1093548,OAC-1
1093549,OAC-10
1093551,OAC-25
1093552,OAC-28
1093553,OAC-29
1093554,OAC-46
1093559,OAZ2A
1093580,OCR-1
1093621,OLR1596
1093674,OSR-1
1093732,PAG-3
1093746,PALS-23
1093747,PALS-37
1093775,PARG-2
1093902,PCK-3
1094066,PERM-2
1094067,PERM-4
1094097,PFKLB
1094099,PFKPA
1094106,PGAM1-PS2
1094121,PGP-12
1094123,PGP-6
1094124,PGP-7
1094140,PHAT-4
1094141,PHAT-7
1094166,PHO-9
1094728,PPS-1
1094734,PQM-1
1094736,PQN-31
1094737,PQN-54
1094738,PQN-63
1094739,PQN-74
1094900,PRX-11
1094968,PST-1
1094973,PTC-3
1095063,PTP-5.2
1095064,PTP-5.3
1095117,PTR-1
1095118,PTR-11
1095120,PTR-15
1095121,PTR-16
1095122,PTR-18
1095124,PTR-6
1095129,PUC
1095131,PUD-1.1
1095134,PUD-2.2
1095137,PUF-3
1095138,PUF-5
1095174,R02E4.3
1095176,R03G8.6
1095177,R04B3.1
1095178,R04B3.3
1095179,R05A10.4
1095180,R05H10.1
1095181,R07E5.15
1095182,R07E5.4
1095183,R08A2.2
1095184,R09E10.6
1095185,R09E12.9
1095186,R09F10.17
1095187,R105.1
1095188,R10E4.7
1095189,R10E9.2
1095190,R11F4.1
1095191,R13H9.5
1095192,R155.3
1095199,R74.2
1095306,RAPGEF5B
1095374,RBM-3.1
1095391,RCA2.2
1095529,RHOCA
1095607,RMD-3
1095608,RMD-4
1095610,RME-2
1095611,RML-3
1095622,RNCS-1
1095662,RNH-1.1
1095669,RNY2
1095676,ROL-1
1095725,RPL36AP37
1095734,RPL5B
1095816,RRN-1.1
1095817,RRN-1.2
1095818,RRN-2.1
1096033,SCRM-6
1096034,SCRM-8
1096067,SDZ-24
1096112,SEM-2
1096129,SEP15
1096410,SKPO-1
1096411,SKPO-2
1096518,SLC25A32A
1096742,SLO-1
1096745,SLPR
1096827,SNF-2
1096828,SNF-4
1096829,SNF-5
1096830,SNF-9
1096834,SNORD116
1096979,SPCH-2
1096980,SPCH-3
1096986,SPE-26
1096987,SPE-8
1097005,SPN-4
1097028,SPP-13
1097082,SQT-2
1097158,SRPR-2.2
1097173,SRU-40
1097174,SRW-86
1097175,SRXA-3
1097187,SSP-33
1097188,SSP-34
1097189,SSP-35
1097194,SSQ-2
1097202,SSS-2
1097256,STH-1
1097270,STIM2B
1097316,STX2A
1097376,SUPS-1
1097401,SWSN-7
1097402,SWSN-9
1097403,SWT-6
1097459,T01B4.4
1097460,T01D1.3
1097461,T01D1.4
1097462,T03F6.6
1097463,T03G6.1
1097464,T04A8.13
1097465,T04D3.5
1097466,T05A7.6
1097467,T05B4.14
1097468,T05D4.5
1097469,T05F1.8
1097471,T06D8.10
1097472,T06E4.10
1097473,T06E4.12
1097474,T06E4.14
1097475,T06E4.8
1097476,T06E4.9
1097477,T06H11.T1
1097478,T07D3.9
1097479,T07G12.3
1097480,T08B2.12
1097481,T08B6.4
1097482,T08B6.9
1097483,T08G11.2
1097484,T08H10.3
1097485,T09F5.10
1097486,T10B5.8
1097487,T10E9.4
1097488,T12B5.15
1097491,T16A9.6
1097492,T16G1.13
1097494,T17H7.7
1097495,T19B10.2
1097496,T19B10.5
1097497,T19C3.3
1097498,T19C4.17
1097499,T19C4.T1
1097500,T20D4.12
1097501,T20F5.5
1097503,T22B3.3
1097504,T22B7.3
1097506,T23B3.5
1097508,T23F6.3
1097509,T23G11.1
1097510,T24A11.5
1097511,T24D3.2
1097514,T26C5.2
1097515,T27A10.8
1097518,T28B8.4
1097519,T28H11.7
1097540,TAG-10
1097541,TAG-297
1097542,TAG-344
1097554,TAO
1097570,TBA-8
1097588,TBH
1097589,TBH-1
1097599,TBX-34
1097653,TENT5BB
1097958,TMEM-135
1097989,TMEM211
1098441,TRX-3
1098476,TTBK-4
1098495,TTR-34
1098496,TTS-1
1098497,TTS-2
1098545,TWK-11
1098567,TXT-4
1098589,UBE2AL
1098626,UBXN-5
1098668,UGT-35
1098669,UGT-37
1098675,UGT5B5
1098686,ULE-1
1098687,ULE-2
1098688,ULE-3
1098689,ULE-4
1098690,ULE-5
1098712,UNC-79
1098731,URAHA
1098861,VMN2R84
1098863,VMO-1
1098884,VRP-1
1098890,VT23B5.1
1098902,W01B6.5
1098903,W01B6.6
1098904,W01C9.6
1098906,W02D9.7
1098907,W03C9.8
1098908,W03D2.9
1098909,W03D8.5
1098911,W03F11.4
1098912,W03F8.6
1098914,W08D2.9
1098915,W09C3.7
1098916,W09D6.4
1098967,WHT-4
1098968,WHT-5
1098969,WHT-8
1098991,WRT-1
1099025,XPO1A
1099038,Y105E8A.27
1099039,Y105E8A.42
1099040,Y106G6A.4
1099042,Y106G6H.13
1099043,Y113G7C.1
1099044,Y116A8C.23
1099046,Y11D7A.9
1099047,Y18H1A.T1
1099050,Y25C1A.13
1099051,Y26D4A.24
1099052,Y32G9B.1
1099053,Y34B4A.10
1099054,Y37D8A.19
1099055,Y37F4.5
1099056,Y38A10A.2
1099058,Y38C1AB.1
1099059,Y38C1AB.5
1099060,Y38E10A.17
1099061,Y38F2AL.11
1099063,Y39A1A.2
1099064,Y39B6A.1
1099065,Y39B6A.30
1099067,Y39G10AR.16
1099068,Y40C5A.19
1099069,Y40C5A.22
1099071,Y40H7A.10
1099072,Y42G9A.8
1099073,Y43F4A.6
1099075,Y43F8C.5
1099076,Y43F8C.9
1099077,Y45F10C.4
1099078,Y47D3A.13
1099079,Y47D3A.31
1099080,Y47D7A.15
1099081,Y47G6A.15
1099082,Y47G6A.33
1099083,Y48A6B.9
1099084,Y48B6A.5
1099086,Y49E10.10
1099087,Y49E10.29
1099088,Y49F6B.8
1099089,Y51H4A.T2
1099090,Y51H7C.1
1099091,Y51H7C.13
1099092,Y52B11B.1
1099093,Y53F4B.11
1099094,Y53F4B.25
1099095,Y53F4B.27
1099096,Y53G8B.2
1099097,Y54E2A.7
1099098,Y54G2A.10
1099099,Y54G2A.13
1099101,Y57G11B.5
1099102,Y57G11C.1130
1099103,Y57G11C.52
1099105,Y57G7A.6
1099106,Y58A7A.1
1099107,Y58A7A.3
1099110,Y59E9AR.7
1099112,Y62E10A.13
1099113,Y62E10A.19
1099114,Y62H9A.3
1099115,Y62H9A.4
1099116,Y62H9A.5
1099117,Y65B4A.9
1099118,Y65B4BL.6
1099120,Y66A7A.9
1099121,Y66D12A.11
1099122,Y69A2AR.14
1099123,Y69A2AR.19
1099124,Y69A2AR.23
1099125,Y69A2AR.44
1099127,Y6E2A.10
1099128,Y71F9AM.8
1099129,Y71G12B.18
1099131,Y71G12B.3
1099132,Y73B3A.24
1099133,Y73B3A.28
1099134,Y73C8B.1
1099135,Y73F8A.20
1099136,Y75B8A.23
1099137,Y76B12C.4
1099138,Y87G2A.2
1099139,Y95B8A.16
1099140,Y9C9A.16
1099203,ZC21.3
1099206,ZC373.2
1099220,ZC434.8
1099221,ZC443.3
1099222,ZC455.14
1099223,ZC477.7
1099339,ZK1025.2
1099340,ZK1025.3
1099341,ZK1025.4
1099342,ZK1025.5
1099343,ZK1025.8
1099344,ZK105.1
1099345,ZK1067.10
1099346,ZK1193.2
1099347,ZK1225.4
1099348,ZK1251.5
1099349,ZK154.1
1099350,ZK354.2
1099351,ZK354.3
1099352,ZK354.6
1099353,ZK354.8
1099355,ZK512.7
1099356,ZK512.8
1099357,ZK546.3
1099358,ZK546.7
1099359,ZK550.6
1099360,ZK596.2
1099361,ZK616.8
1099362,ZK792.4
1099363,ZK795.2
1099364,ZK813.1
1099365,ZK813.2
1099366,ZK813.3
1099367,ZK813.7
1099368,ZK829.3
1099369,ZK858.8
1099370,ZK892.3
1099371,ZK897.2
1099372,ZK897.4
1099374,ZK945.7
1099375,ZK970.7
1099382,ZMP-6
1099494,42SP43
1099496,42SP50.L
1099816,ACSS2.1
1099875,ADA.2
1099991,ADMP
1100079,AHCY.L
1100315,ANAPC13.1
1100365,ANKRD2.L
1100366,ANKRD2.S
1100502,APLNR.S
1100625,ARCH
1100667,ARHGAP11A.2
1100803,ARX.L
1100804,ARX.S
1100815,ASB12.2
1100876,ASTL2C
1100923,ATG4A.S
1100933,ATOH7.S
1100946,ATP1A1.S
1101126,B3GNT5.S
1101140,B4GALT1.2
1101155,BACH
1101160,BAF-L
1101316,BIRC5L
1101317,BIRC5.S
1101322,BIX1.1
1101351,BMP2.L
1101360,BMP7.2
1101548,C6.2.L
1101550,C80502
1101626,CALB1.L
1101716,CAR1_PREDICTED
1101735,CARM1P1
1101777,CAT.1
1101778,CAT.2
1101904,CCN3.L
1101911,CCNB1.2
1101931,CCND2.L
1101936,CCNDX
1102183,CDCA5.S
1102322,CELA1.1
1102334,CELF3.L
1102393,CERS2A
1102449,CFOS-A
1102500,CHMP2BB
1102641,CLDN15.1
1102653,CLDN6.1
1102654,CLDN6.1.S
1102724,CLTRN.L
1102756,CNDP2.L
1102831,COL25A1.2
1102906,COMT.2
1102980,COX5B.2
1103027,CPEB1.L
1103080,CRADD.1
1103106,CRHR1.1
1103107,CRHR1.2.S
1103183,CRYBB2.L
1103303,CTNNB1.L
1103593,CYP2C8.2
1103651,CYP4B1.2
1103768,DCK.1
1103769,DCK.2.L
1103876,DEFA23
1103909,DES.1
1104032,DLC
1104062,DMRT1.S
1104063,DMRT2A
1104090,DNAJA4.1
1104091,DNAJA4.2
1104197,DP1
1104307,DUSP11.2
1104356,DYNLL1.S
1104365,DYRK1A.2
1104447,EDNRB2
1104456,EEF1A1O
1104457,EEF1A1O.L
1104469,EEF2.1
1104470,EEF2.2
1104501,EFNA5B
1104674,ELN2
1104732,EN2.S
1104773,ENPP7-L
1105118,EXO70
1105207,FAAH.2
1105217,FABP2.S
1105457,FCN3-A
1105592,FIP1L1A
1105709,FOSL2.L
1105711,FOXA4
1105714,FOXC1-A
1105717,FOXD4L1.1
1105722,FOXF1.L
1105729,FOXI2.S
1105730,FOXJ1.2
1105731,FOXJ1.L
1105781,FRZB2
1105823,FUCOLECTIN.S
1105865,FZD8.S
1105901,GABPB1.S
1106018,GATA4.L
1106019,GATA4.S
1106029,GBX2.2.L
1106075,GDNFA
1106183,GJA8B
1106286,GNAO1.S
1106314,GNGT2.1
1106329,GNRHR2/NMI
1106523,GRHPR.1
1106524,GRHPR.2
1106531,GRIK5-LIKE.1.L
1106652,GTF2A1.S
1106660,GTF2E1.2
1106726,H1-6.L
1106741,H2AC1.S
1106796,HAL.1
1106797,HAL.2.L
1106823,HBA3
1106830,HBA-L2
1106831,HBA-L5
1106858,HCST.L
1106922,HES1.S
1106925,HES6.2
1106926,HES7.1
1107008,HMBS.2.S
1107153,HOXD11A
1107244,HSF2.2
1107338,HSPH1.L
1107512,IGF2BP3.L
1107555,IGHV4-31
1107556,IGLV5-48
1107693,IMP
1107731,INKA1.S
1107775,INVS.S
1107787,IPO5.S
1107825,IRF6.2
1108193,KIT.L
1108308,KRT12.4
1108309,KRT12.4.L
1108341,KRT61
1108346,KRT70
1108444,LCT.1.L
1108475,LDLR.S
1108480,LEFTY
1108512,LGALS4.1.L
1108619,LMNB3
1108656,LP1
1108659,LPAR1.L
1108868,MACROH2A2.L
1108968,MAP3K12.S
1109089,MAX.S
1109103,MBL
1109143,MCHR1.1
1109144,MCHR1.2
1109162,MCM6.S
1109385,MHC1B2
1109522,MMP9.1.S
1109532,MOB2.1
1109543,MOGAT1.L
1109754,MSMB.3
1109777,MSTN.1
1109978,MYLPF.L
1110000,MYO7AA
1110173,NDR1
1110332,NEUROG2.L
1110333,NEUROG2.S
1110411,NIF
1110455,NKX2-5.S
1110457,NKX3-3
1110565,NOT
1110576,NOT.S
1110719,NR5A2.S
1110809,NTNG2A
1110930,OCM4.2
1110970,OLIG4
1110973,OMP.S
1110993,OR13C2
1110995,OR42C1
1110998,OR70A4
1111216,PAR3
1111262,PC.2
1111424,PDHA1.S
1111435,PDIA6.L
1111484,PED
1111589,PGQ
1111686,PICALML
1111760,PITPNB.2
1111778,PKDCC.2
1112059,POLR1D.2
1112085,POLR2L.1
1112134,POU3F2.S
1112137,POU4F4
1112140,POU5F3.3
1112248,PPP1R3C.2
1112304,PPS
1112449,PRL.1
1112455,PRLR.L
1112486,PROM
1112693,PSX1
1112903,RAB11B.1
1112904,RAB11B.2
1112908,RAB11FIP4L
1112986,RACGAP1.2
1113000,RAD51.L
1113038,RAMAC.L
1113104,RAS-DVA1
1113131,RAX.S
1113137,RBBP4.L
1113239,RCC1.S
1113259,RCVRN.2
1113276,RDH7.2
1113347,RFLCII
1113358,RGA
1113366,RGD1559752
1113367,RGD1560225
1113368,RGD1561079
1113370,RGD1562134
1113372,RGD1562569
1113374,RGD1564320
1113375,RGD1564645
1113376,RGD1565299
1113422,RHBG.L
1113448,RHOGD
1113750,RPS28P9
1113800,RRM2.1
1113801,RRM2.2
1113885,RTRAF.S
1113923,S100A10.L
1114008,SASS6.2
1114516,SHISA1.2
1114566,SIRT3.2
1114576,SIX3.L
1114660,SLC16A3.S
1114710,SLC22A15.2
1114870,SLC35A3.1
1114976,SLC5A1.1
1114983,SLC66A2.2
1114988,SLC6A14.2.L
1115237,SNRNP40.L
1115360,SOX11.S
1115366,SOX17A
1115443,SPDYC.L
1115488,SPOPLB
1115614,SSB.L
1115638,SST.1.L
1115659,ST3GAL2.1
1115772,STMN1B
1115901,SUMO2.L
1115914,SURF4.2
1115943,SYN2.L
1115978,T2R19
1115979,T2R29
1115980,T2R53
1116041,TAMALIN.L
1116074,TBC1D20.1
1116076,TBC1D24.1
1116149,TCFL1
1116181,TDGF1.3
1116195,TECTA.2.S
1116338,THDL18
1116542,TMEM150B.L
1116556,TMEM178.2
1116661,TMX3A
1116756,TOP1.2
1116830,TPRG
1116873,TRDV3
1116884,TRG.L
1116885,TRHD.S
1116886,TRH.L
1117006,TSKU.S
1117268,UBE2G1B
1117358,UGDHL
1117359,UGDH.S
1117414,UMOD.3
1117572,VAX2.L
1117611,VEGT
1117612,VELO1
1117613,VENT
1117615,VENTX2.1.L
1117616,VENTX3.1
1117649,VOM2R-PS138
1117727,WARS1.S
1117833,WNT11B.L
1117867,XA-1.L
1117885,XNF7
1117923,YBX2.L
1118004,ZBTB8A.1
1118098,ZFP36L2.1
1118099,ZFP36L2.2
1118100,ZFP36L2.2.L
1118131,ZFY2
1118170,ZNF238.2
1118219,ZNF706L
1118222,ZNF750.L
1118254,ZP3.2
1118259,ZPAX
1118768,CYP313A1
1118783,GXIVSPLA2
1118803,REGUCALCIN
1119890,ASUN
1119932,BAI3
1120004,BSPH2
1120026,C78283
1120027,C80425
1120473,CYPT15
1120474,CYPT2
1120478,D15ERTD55E
1120480,D2BWG0886E
1120486,D8WSU26E
1120506,DCPP2
1120534,DFNB59
1120602,EAR7
1120715,FAM188B2
1120734,FAM90A1A
1120759,FBXW16
1120761,FBXW22
1120883,GDAP5
1120922,GLTSCR1L
1120959,GPR31B
1121165,IIGP1B
1121292,KIS2
1121315,KLRA6
1121562,MIR1892
1121567,MIR1945
1121571,MIR1971
1121584,MIR3067
1121585,MIR3069
1121598,MIR344I
1121600,MIR3473E
1121601,MIR3473F
1121619,MIR466M
1121620,MIR466Q
1121623,MIR470
1121628,MIR497B
1121632,MIR5128
1121633,MIR5130
1121640,MIR6354
1121641,MIR6388
1121642,MIR6391
1121643,MIR6392
1121644,MIR6394
1121645,MIR6404
1121646,MIR6405
1121647,MIR6481
1121651,MIR669O
1121653,MIR6769B
1121657,MIR6926
1121658,MIR6929
1121661,MIR6939
1121662,MIR6941
1121663,MIR6955
1121664,MIR6959
1121665,MIR6969
1121667,MIR6970
1121668,MIR6972
1121669,MIR6974
1121670,MIR6980
1121671,MIR6984
1121672,MIR6988
1121674,MIR6995
1121675,MIR7002
1121676,MIR7005
1121677,MIR7014
1121678,MIR7015
1121681,MIR7022
1121682,MIR7024
1121683,MIR7031
1121684,MIR7036
1121685,MIR7038
1121686,MIR7040
1121687,MIR7047
1121688,MIR7048
1121689,MIR7058
1121692,MIR7085
1121693,MIR7087
1121694,MIR7088
1121699,MIR7216
1121700,MIR7218
1121701,MIR7221
1121702,MIR7226
1121708,MIR7666
1121710,MIR7684
1121711,MIR7686
1121714,MIR8093
1121715,MIR8095
1121716,MIR8105
1121717,MIR8109
1121719,MIR8117
1121773,MRGPRA1
1121775,MRGPRA7
1121923,NLRP1B
1122023,OLFR242
1122024,OLFR255
1122031,OOSP1
1122038,OR10AL3
1122046,OR11G27
1122063,OR1I2
1122065,OR1N1B
1122068,OR1X2
1122069,OR2A20
1122072,OR2B28
1122098,OR4K50-PS1
1122101,OR4X11
1122106,OR51F1D
1122119,OR5AC20
1122134,OR5D46
1122137,OR5H17
1122139,OR5H25
1122142,OR5K16
1122149,OR5P73
1122156,OR6D12
1122159,OR7G12
1122162,OR7H8
1122164,OR8B12C
1122167,OR8B38
1122170,OR8C11
1122178,OR8G35
1122183,OR8K35
1122186,OR9E1
1122293,PEA15B-PS
1122368,PLDI
1122489,PRR23A3
1122498,PRSS43
1122500,PRSS47
1122507,PSG20
1122508,PSG26
1122745,SAMT2
1122858,SKINT2
1122859,SKINT6
1122977,SMOK3A
1122979,SMOK4A
1123037,SPEER4A
1123358,TRAV12-1
1123359,TRAV14D-3-DV8
1123498,USMG2
1123509,V1RD19
1123534,VMN1R104
1123535,VMN1R121
1123536,VMN1R139
1123537,VMN1R14
1123539,VMN1R167
1123541,VMN1R172
1123542,VMN1R174
1123543,VMN1R18
1123544,VMN1R181
1123545,VMN1R183
1123546,VMN1R194
1123547,VMN1R196
1123548,VMN1R20
1123549,VMN1R215
1123550,VMN1R217
1123554,VMN1R33
1123558,VMN1R48
1123561,VMN1R7
1123563,VMN1R8
1123564,VMN1R82
1123566,VMN1R-PS79
1123568,VMN2R118
1123576,VMN2R52
1123577,VMN2R57
1123578,VMN2R60
1123579,VMN2R62
1123580,VMN2R67
1123582,VMN2R71
1123583,VMN2R76
1123606,WBSCR22
1124088,RCC1.L
1124117,TSHB-A
1124134,OR22A
1125035,GPA-10
1125036,GPA-11
1125037,GPA-14
1125038,GPA-4
1125039,GPA-6
1126643,ADAM26B
1126768,DEFB46
1126795,EAR-PS9
1126868,HB
1127046,OR7E165
1127146,RPSA-PS4
1127154,SAGG
1127198,SSXB1
1127213,TEX46
1127268,VMN1R124
1127270,VMN1R64
1127271,VMN2R14
1127272,VMN2R27
1127604,PVF1
1129182,CYP-14A3
1130092,NSP
1131544,MEN
1132697,FATP1
1133221,AF357359
1133748,CYP3A22
1135918,14-3-3EPSILON
1135929,ACO-2
1135949,ANXB10
1135952,APKC
1135953,AQP_ANOGA
1135954,ARALAR1
1135955,ARF102F
1135969,C24G6.8
1135980,CHIC
1135997,COPROX
1135999,CPAP1-G
1136000,CPAP3-A1
1136011,CYT
1136012,CYT-B5
1136013,DBO
1136023,DNC
1136024,DPPIII
1136026,DSP1
1136028,E75
1136034,EIF3-S7
1136038,EMB-9
1136040,ENDOA
1136052,FIB
1136055,FLFL
1136061,GALPHAQ
1136065,GLCAT-P
1136067,GLUPRORS
1136068,GLUT1
1136069,GLYP
1136071,GOL
1136072,GOT-1.2
1136079,GYC32E
1136085,HEL25E
1136087,HEX-T2
1136088,HIS2AV
1136093,HR4
1136107,ISYNA1.S
1136108,JAGN
1136117,LET-268
1136119,LIN-10
1136122,LOLAL
1136137,MESH
1136148,MP20
1136153,NACALPHA
1136156,NAS-13
1136158,NCA
1136163,NEP-11
1136170,NURF-38
1136181,PGK-1
1136195,PP2B-14D
1136206,PTP10D
1136218,RDGA
1136228,RPL40
1136237,SAM-S
1136238,SARM
1136242,SEP1
1136260,SLGA
1136261,SLI
1136262,SMSR
1136263,SN
1136267,SPLY
1136268,SPZ6
1136272,SW
1136273,SWIP-1
1136279,TIM14
1136284,TNT
1136285,TOMM20B
1136286,TPNC41C
1136295,TYRRS-M
1136297,U2AF50
1136299,UBC2
1136300,UBC4
1136305,URO
1136309,VHA26
1136315,WOL
1136318,YMEL-1
1136319,ZASP52
1136918,APOL7E
1137199,C78513
1137512,CIRBPB
1137665,CRYGM2D2
1138032,EPP13
1138459,H2-M1
1138519,HIST1H2A11
1138559,HNRNPA1B
1138577,HOXB6B
1139572,OR5G25
1142463,NAIP3L1
1142499,NDUFS5-PS
1142759,RAB26OS
1142847,RPL27A-PS1
1142849,RPL31-PS1
1142850,RPL31-PS15
1142851,RPL31-PS16
1142852,RPL31-PS20
1143964,FEL
1144365,MDR50
1144721,RGD1562771
1145132,VDR-A
1145138,VOM1R100
1145139,VOM1R101
1146576,CTGF
1147893,RNF11L2
1148338,ABI3A
1148360,ACVR2BA
1148362,ADAM10A
1148395,ADTRP1
1148509,ARHGAP32A
1148510,ARHGAP45A
1148511,ARHGAP46A
1148524,ARSIB
1148594,BCL11AB
1148617,BMPR1AB
1148626,BRD8B
1148673,CAMK2N1A
1148681,CART2
1148687,CASP6A
1148715,CCDC120B
1148732,CCN1L2
1148759,CDC42EP4A
1148795,CERS3A
1148843,CIRBPA
1148875,CNOT3A
1148884,COL23A1A
1148887,COL2A1B
1148901,COX5BA
1148932,CSNK1G2B
1148935,CSP10
1148950,CSP9
1148978,CXCL20
1148980,CXXC1A
1149137,DLA
1149138,DLB
1149145,DMRT2B
1149149,DNAJA2A
1149170,DRLL.2
1149212,EIF4G1A
1149244,EPC1B
1149248,EPN1A
1149269,ETAA1A
1149277,ETV5A
1149344,FBXO40.2
1149352,FEZ2B
1149382,FOXK2A
1149396,FTR81
1149397,FTR97
1149409,G3BP2B
1149453,GADD45GB.1
1149472,GATAD2AB
1149517,GLRBB
1149552,GPR22A
1149563,GREM2B
1149653,HER4.4
1149661,HES2.2
1149666,HIF1AA
1149689,HMGN7
1149691,HMGXB4B
1149695,HNRNPA1A
1149707,HOXB1B
1149782,ILF3A
1149811,IRX5B
1149837,KAT5A
1149843,KCNH6A
1149844,KCNIP3A
1149865,KIF5AA
1149868,KIRREL3L
1149870,KITLGA
1149913,LHX1B
1149921,LIN28AB
1149998,LINC01502
1150025,LMOD2A
1150089,MAP7D1B
1150107,MBD1B
1150137,MHC1ZEA
1150141,MICAL3A
1150167,MMRN2A
1150176,MPPED2A
1150186,MRPS21L
1150189,MS4A17A.2
1150191,MSL2A
1150209,MTDHA
1150210,MTDHB
1150255,MYOM2B
1150267,NBEAA
1150287,NDUFA4B
1150307,NEU3.5
1150320,NIBAN2B
1150327,NITR1C
1150386,NUCKS1B
1150414,ODF2B
1150418,OGFR2
1150419,OLFCK1
1150430,OSBP2A
1150522,PGAM1B
1150538,PHF12B
1150565,PKS1
1150571,PLEKHA7A
1150606,POU3F2B
1150626,PPP2R1BA
1150632,PPT2A.4
1150649,PRKCAA
1150651,PRKCEB
1150706,PTP4A2B
1150714,PURAA
1150744,RANGAP1B
1150759,RBM14A
1150763,RBM25B
1150817,RGD1563124
1150818,RGD1563738
1150824,RGMD
1150825,RGS12B
1150826,RGS3A
1150867,RPE65B
1150868,RPE65C
1150893,RPRMA
1151041,SLC16A3B
1151055,SLC27A1A
1151064,SLC35G2B
1151093,SMAD6A
1151114,SNAP25B
1151135,SNX1A
1151156,SOX8B
1151193,SRSF2A
1151216,STMN2A
1151225,STXBP1A
1151306,THBS1A
1151310,THRAP3A
1151328,TLE2C
1151349,TMEM198A
1151366,TMPOA
1151371,TNFRSF14-AS1
1151379,TNNI4A
1151383,TOP1A
1151413,TRIM8B
1151466,UBAP2A
1151518,UNM_SA1261
1151530,USP43B
1151554,VPS37BB
1151560,WACA
1151585,WNT11F2
1151592,XKR7A
1151636,ZMP:0000001167
1151640,ZNF143A
1151653,ZNF687A
1151659,ZNRF3-AS1
1151700,HOXC5A
