,AR
2532,FGFR3
2533,FGG
2534,FGL2
2535,FHL1
2536,FIBIN
2537,FIGNL1
2538,FLNB
2539,FMO1
2540,FMO2
2541,FMO3
2543,FN1
2544,FOXA2
2545,FOXF2
2546,FRRS1
2548,G6PD
2550,GALNT12
2551,GAP43
2552,GARIN1A
2553,GASK1B
2554,GATA2
2555,GBP11
2556,GBP4
2557,GBP5
2558,GBP6
2559,GCK
2560,GDAP10
2561,GDF1
2563,GDPD5
2564,GLDN
2565,GLIS2
2566,GNA14
2567,GNAT1
2569,GPIHBP1
2570,GPR146
2571,GPR162
2572,GPRC5B
2573,GPRIN3
2574,GPX7
2576,GREM2
2577,GRP
2578,GSTA1
2579,GSTM1
2580,GSTP1
2581,GSTP2
2582,GTSE1
2583,GUCY1A2
2584,H1F2
2585,H1F5
2586,H2AC10
2587,H2AC11
2588,H2AC12
2589,H2AC15
2590,H2AC20
2591,H2AC22
2592,H2AC23
2593,H2AC4
2594,H2AFX
2595,H2BC14
2596,H2-K2
2597,H2-Q8
2598,H2-T9
2600,HAPLN1
2601,HC
2602,HDAC1
2603,HEATR1
2604,HEPH
2605,HERC6
2606,HEYL
2607,HHIP
2608,HIC1
2613,HKDC1
2614,HLF
2615,HMGB2
2616,HMGB3
2617,HMGCR
2619,HMGN2
2620,HMGN2L6
2621,HNMT
2622,HOMER2
2623,HOOK2
2629,HSPA1A
2630,HSPA4L
2632,HUNK
2633,HYDIN
2634,ID1
2637,ID2
2639,IER5
2644,IGF2
2645,IGFBP1
2648,IGFBP2
2650,IGFBP6
2651,IGHG
2652,IGH-VJ558
2653,IGL
2654,IGTP
2655,IIGP1
2656,IKZF4
2657,IL18R1
2658,IL4RA
2659,INF2
2660,INHBB
2661,INKA2
2662,INSIG2
2663,IQGAP3
2664,IRS1
2665,IRX2
2666,ITGB4
2667,ITM2A
2668,ITPKA
2669,JAG2
2670,JAM2
2671,JCHAIN
2672,KANK4
2673,KAZN
2674,KCNB1
2676,KCNN2
2678,KCNS3
2679,KCTD12
2680,KIF20A
2681,KIF20B
2682,KIF22
2683,KIF26B
2684,KIFC1
2685,KIT
2686,KLF13
2687,KLHL5
2688,KLK8
2689,KLRA15
2690,KLRA16
2691,KLRA22
2692,KLRA4
2693,KNSTRN
2694,KRT8
2695,KRTAP20-2
2696,KRTAP6-1
2697,LAG3
2699,LAMA2
2700,LAMA4
2701,LBP
2704,LEFTY1
2705,LEPR
2706,LGALS1
2707,LGALS3
2708,LGALS9
2709,LGALSL
2710,LGI2
2711,LIFR
2712,LMO2
2713,LNX2
2714,LOXL4
2715,LPIN1
2716,LPL
2717,LRAT
2718,LRFN3
2719,LRRC36
2720,LRRC75B
2721,LTB4R1
2722,LTBP2
2723,LTC4S
2724,LXN
2725,LY6A
2726,LY6C1
2727,LY6G
2728,LYSMD2
2729,LYSMD3
2730,LYVE1
2731,MAD2L1
2732,MAD2L2
2733,MAFB
2734,MAFF
2735,MAP2K6
2737,MAP4K4
2738,MAPT
2739,MARCKS
2740,MARVELD1
2741,MBOAT1
2742,MBOAT2
2744,MCM2
2745,MCM3
2746,MCM6
2748,ME1
2750,MEGF6
2751,MGMT
2753,MIR17HG
2756,MLANA
2757,MMD2
2759,MMRN2
2760,MND1
2761,MORC3
2762,MPP4
2763,MPV17L
2764,MPZL1
2765,MRGPRE
2766,MRLN
2767,MS4A4D
2768,MSH3
2769,MSI2
2770,MSR1
2771,MT1E
2772,MTHFR
2773,MTMR10
2774,MTNR1A
2775,MTSS1
2776,MUSTN1
2777,MYCN
2778,NAMPT
2779,NARF
2780,NAT8F5
2781,NCAPD2
2782,NCAPH
2783,NCEH1
2784,NDC80
2785,NDRG1
2786,NEAT1
2787,NECTIN3
2788,NES
2789,NET1
2792,NGEF
2793,NGFR
2794,NHLRC2
2795,NKD1
2796,NMRK1
2798,NOX4
2799,NPY1R
2804,NR1D2
2805,NR5A2
2806,NRARP
2807,NREP
2808,NRG4
2809,NRXN1
2810,NSL1
2812,NUP58
2815,NUPR1
2818,NUSAP1
2819,OAS1A
2820,ODC1
2821,ODF3B
2822,OLFML1
2823,ONECUT1
2824,OR4C15B
2825,OR52AE7
2826,OSBPL5
2827,OTOP1
2828,P2RX7
2829,P2RY1
2830,P2RY2
2831,PAH
2832,PAK3
2833,PALMD
2834,PBK
2835,PCDH17
2836,PCDHAC2
2837,PCDHB1
2838,PCDHB7
2839,PCNA
