keyge,word
ACS-17,ACS-17
ACS-18,ACS-18
ACS-2,ACS-2
ACS-20,ACS-20
ACS-22,ACS-22
ACS-3,ACS-3
ACS-4,ACS-4
ACS-5,ACS-5
ACS-6,ACS-6
ACS-7,ACS-7
ACSBG1,ACSBG1
ACSBG2,ACSBG2
ACSBG2.L,ACSBG2.L
ACSBG3,ACSBG3
ACSF2,ACSF2
ACSF3,ACSF3
ACSL,ACSL
ACSL1,ACSL1
ACSL1A,ACSL1A
ACSL1B,ACSL1B
ACSL2,ACSL2
ACSL3,ACSL3
ACSL3A,ACSL3A
ACSL3B,ACSL3B
ACSL4,ACSL4
ACSL4A,ACSL4A
ACSL4B,ACSL4B
ACSL5,ACSL5
ACSL6,ACSL6
ACSM1,ACSM1
ACSM2,ACSM2
ACSM2A,ACSM2A
ACSM2B,ACSM2B
ACSM3,ACSM3
ACSM4,ACSM4
ACSM5,ACSM5
ACSM6,ACSM6
ACSS1,ACSS1
ACSS2,ACSS2
ACSS2.1,ACSS2.1
ACSS2L,ACSS2L
ACSS3,ACSS3
ACT-2,ACT-2
ACT-3,ACT-3
ACT-4,ACT-4
ACT-5,ACT-5
ACT1,ACT1
ACT57B,ACT57B
ACT5C,ACT5C
ACT79B,ACT79B
ACT87E,ACT87E
ACT88F,ACT88F
ACTA1,ACTA1
ACTA1A,ACTA1A
ACTA1B,ACTA1B
ACTA2,ACTA2
ACTA2-AS1,ACTA2-AS1
ACTB,ACTB
ACTB1,ACTB1
ACTB2,ACTB2
ACTBL2,ACTBL2
ACTBP14,ACTBP14
ACTC,ACTC
ACTC1,ACTC1
ACTC1A,ACTC1A
ACTC1B,ACTC1B
ACTE1,ACTE1
ACTG1,ACTG1
ACTG1P1,ACTG1P1
ACTG1P17,ACTG1P17
ACTG1P20,ACTG1P20
ACTG1P25,ACTG1P25
ACTG1P4,ACTG1P4
ACTG1P9,ACTG1P9
ACTG2,ACTG2
ACTL10,ACTL10
ACTL11,ACTL11
ACTL6A,ACTL6A
ACTL6B,ACTL6B
ACTL7A,ACTL7A
ACTL7B,ACTL7B
ACTL8,ACTL8
ACTL9,ACTL9
ACTL9B,ACTL9B
ACTN,ACTN
