keyge,group,category,description
gene:100006341,genomic,gene,gene:100006341
gene:100006366,genomic,gene,gene:100006366
gene:100006371,genomic,gene,gene:100006371
gene:100006377,genomic,gene,gene:100006377
gene:100006392,genomic,gene,gene:100006392
gene:100006399,genomic,gene,gene:100006399
gene:100006427,genomic,gene,gene:100006427
gene:100006440,genomic,gene,gene:100006440
gene:100006442,genomic,gene,gene:100006442
gene:100006454,genomic,gene,gene:100006454
gene:100006456,genomic,gene,gene:100006456
gene:100006460,genomic,gene,gene:100006460
gene:100006496,genomic,gene,gene:100006496
gene:100006523,genomic,gene,gene:100006523
gene:100006598,genomic,gene,gene:100006598
gene:100006599,genomic,gene,gene:100006599
gene:100006612,genomic,gene,gene:100006612
gene:100006620,genomic,gene,gene:100006620
gene:100006660,genomic,gene,gene:100006660
gene:100006675,genomic,gene,gene:100006675
gene:100006808,genomic,gene,gene:100006808
gene:100006896,genomic,gene,gene:100006896
gene:100006951,genomic,gene,gene:100006951
gene:100006972,genomic,gene,gene:100006972
gene:100007047,genomic,gene,gene:100007047
gene:100007048,genomic,gene,gene:100007048
gene:100007078,genomic,gene,gene:100007078
gene:100007104,genomic,gene,gene:100007104
gene:100007164,genomic,gene,gene:100007164
gene:100007251,genomic,gene,gene:100007251
gene:100007289,genomic,gene,gene:100007289
gene:100007313,genomic,gene,gene:100007313
gene:100007317,genomic,gene,gene:100007317
gene:100007322,genomic,gene,gene:100007322
gene:100007371,genomic,gene,gene:100007371
gene:100007383,genomic,gene,gene:100007383
gene:100007394,genomic,gene,gene:100007394
gene:100007426,genomic,gene,gene:100007426
gene:100007463,genomic,gene,gene:100007463
gene:100007502,genomic,gene,gene:100007502
gene:100007514,genomic,gene,gene:100007514
gene:100007585,genomic,gene,gene:100007585
gene:100007591,genomic,gene,gene:100007591
gene:100007635,genomic,gene,gene:100007635
gene:100007653,genomic,gene,gene:100007653
gene:100007661,genomic,gene,gene:100007661
gene:100007670,genomic,gene,gene:100007670
gene:100007677,genomic,gene,gene:100007677
gene:100007678,genomic,gene,gene:100007678
gene:100007681,genomic,gene,gene:100007681
gene:100007704,genomic,gene,gene:100007704
gene:100007710,genomic,gene,gene:100007710
gene:100007749,genomic,gene,gene:100007749
gene:100007763,genomic,gene,gene:100007763
gene:100007788,genomic,gene,gene:100007788
gene:100007808,genomic,gene,gene:100007808
gene:100007819,genomic,gene,gene:100007819
gene:100007897,genomic,gene,gene:100007897
gene:100007940,genomic,gene,gene:100007940
gene:100007982,genomic,gene,gene:100007982
gene:100007990,genomic,gene,gene:100007990
gene:100008070,genomic,gene,gene:100008070
gene:100008101,genomic,gene,gene:100008101
gene:100008445,genomic,gene,gene:100008445
gene:100008541,genomic,gene,gene:100008541
gene:100008565,genomic,gene,gene:100008565
gene:100008586,genomic,gene,gene:100008586
gene:100008588,genomic,gene,gene:100008588
gene:100008589,genomic,gene,gene:100008589
gene:100008592,genomic,gene,gene:100008592
gene:100009071,genomic,gene,gene:100009071
gene:100009084,genomic,gene,gene:100009084
