keyge,group,category,description
chem:c000614965,environment,chemicals,c000614965
chem:c000614989,environment,chemicals,c000614989
chem:c000615146,environment,chemicals,c000615146
chem:c000615490,environment,chemicals,c000615490
chem:c000615602,environment,chemicals,c000615602
chem:c000615616,environment,chemicals,c000615616
chem:c000615642,environment,chemicals,c000615642
chem:c000615871,environment,chemicals,c000615871
chem:c000616131,environment,chemicals,c000616131
chem:c000616873,environment,chemicals,c000616873
chem:c000616976,environment,chemicals,c000616976
chem:c000617134,environment,chemicals,c000617134
chem:c000617177,environment,chemicals,c000617177
chem:c000617228,environment,chemicals,c000617228
chem:c000617853,environment,chemicals,c000617853
chem:c000618316,environment,chemicals,c000618316
chem:c000618381,environment,chemicals,c000618381
chem:c000618475,environment,chemicals,c000618475
chem:c000618691,environment,chemicals,c000618691
chem:c000618763,environment,chemicals,c000618763
chem:c000619336,environment,chemicals,c000619336
chem:c000619516,environment,chemicals,c000619516
chem:c000619637,environment,chemicals,c000619637
chem:c000619812,environment,chemicals,c000619812
chem:c000619853,environment,chemicals,c000619853
chem:c000620396,environment,chemicals,c000620396
chem:c000620431,environment,chemicals,c000620431
chem:c000620474,environment,chemicals,c000620474
chem:c000620620,environment,chemicals,c000620620
chem:c000620621,environment,chemicals,c000620621
chem:c000620717,environment,chemicals,c000620717
chem:c000621033,environment,chemicals,c000621033
chem:c000621168,environment,chemicals,c000621168
chem:c000621430,environment,chemicals,c000621430
chem:c000621655,environment,chemicals,c000621655
chem:c000621704,environment,chemicals,c000621704
chem:c000621705,environment,chemicals,c000621705
chem:c000621807,environment,chemicals,c000621807
chem:c000621860,environment,chemicals,c000621860
chem:c000621942,environment,chemicals,c000621942
chem:c000622103,environment,chemicals,c000622103
chem:c000622214,environment,chemicals,c000622214
chem:c000622259,environment,chemicals,c000622259
chem:c000622346,environment,chemicals,c000622346
chem:c000622612,environment,chemicals,c000622612
chem:c000622638,environment,chemicals,c000622638
chem:c000622691,environment,chemicals,c000622691
chem:c000622727,environment,chemicals,c000622727
chem:c000622812,environment,chemicals,c000622812
chem:c000623013,environment,chemicals,c000623013
chem:c000623021,environment,chemicals,c000623021
chem:c000623135,environment,chemicals,c000623135
chem:c000623385,environment,chemicals,c000623385
chem:c000623387,environment,chemicals,c000623387
chem:c000624217,environment,chemicals,c000624217
chem:c000624218,environment,chemicals,c000624218
chem:c000624219,environment,chemicals,c000624219
chem:c000624612,environment,chemicals,c000624612
chem:c000624697,environment,chemicals,c000624697
chem:c000624721,environment,chemicals,c000624721
chem:c000624962,environment,chemicals,c000624962
chem:c000625025,environment,chemicals,c000625025
chem:c000625285,environment,chemicals,c000625285
chem:c000625353,environment,chemicals,c000625353
chem:c000625361,environment,chemicals,c000625361
chem:c000625385,environment,chemicals,c000625385
chem:c000625487,environment,chemicals,c000625487
chem:c000625617,environment,chemicals,c000625617
chem:c000625641,environment,chemicals,c000625641
chem:c000625642,environment,chemicals,c000625642
chem:c000625668,environment,chemicals,c000625668
chem:c000625836,environment,chemicals,c000625836
chem:c000625876,environment,chemicals,c000625876
chem:c000625880,environment,chemicals,c000625880
chem:c000625943,environment,chemicals,c000625943
chem:c000626272,environment,chemicals,c000626272
chem:c000626478,environment,chemicals,c000626478
chem:c000626479,environment,chemicals,c000626479
chem:c000626624,environment,chemicals,c000626624
chem:c000626766,environment,chemicals,c000626766
chem:c000626787,environment,chemicals,c000626787
chem:c000626884,environment,chemicals,c000626884
chem:c000626913,environment,chemicals,c000626913
chem:c000626944,environment,chemicals,c000626944
chem:c000626960,environment,chemicals,c000626960
chem:c000626967,environment,chemicals,c000626967
chem:c000626985,environment,chemicals,c000626985
chem:c000627121,environment,chemicals,c000627121
chem:c000627226,environment,chemicals,c000627226
chem:c000627244,environment,chemicals,c000627244
chem:c000627295,environment,chemicals,c000627295
chem:c000627370,environment,chemicals,c000627370
chem:c000627536,environment,chemicals,c000627536
chem:c000627609,environment,chemicals,c000627609
chem:c000627634,environment,chemicals,c000627634
chem:c000627785,environment,chemicals,c000627785
chem:c000627899,environment,chemicals,c000627899
chem:c000628091,environment,chemicals,c000628091
chem:c000628228,environment,chemicals,c000628228
chem:c000628268,environment,chemicals,c000628268
chem:c000628468,environment,chemicals,c000628468
chem:c000628644,environment,chemicals,c000628644
chem:c000628730,environment,chemicals,c000628730
chem:c000628791,environment,chemicals,c000628791
chem:c000628792,environment,chemicals,c000628792
chem:c000628794,environment,chemicals,c000628794
chem:c000628804,environment,chemicals,c000628804
chem:c000628859,environment,chemicals,c000628859
chem:c000629124,environment,chemicals,c000629124
chem:c000629248,environment,chemicals,c000629248
chem:c000629279,environment,chemicals,c000629279
chem:c000629391,environment,chemicals,c000629391
chem:c000629597,environment,chemicals,c000629597
chem:c000630125,environment,chemicals,c000630125
chem:c000630714,environment,chemicals,c000630714
chem:c000630836,environment,chemicals,c000630836
chem:c000630886,environment,chemicals,c000630886
chem:c000631385,environment,chemicals,c000631385
chem:c000632156,environment,chemicals,c000632156
chem:c000632170,environment,chemicals,c000632170
chem:c000632228,environment,chemicals,c000632228
chem:c000632506,environment,chemicals,c000632506
chem:c000632706,environment,chemicals,c000632706
chem:c000633774,environment,chemicals,c000633774
chem:c000654,environment,chemicals,c000654
chem:c000654244,environment,chemicals,c000654244
chem:c000654324,environment,chemicals,c000654324
chem:c000654501,environment,chemicals,c000654501
chem:c000654633,environment,chemicals,c000654633
chem:c000654634,environment,chemicals,c000654634
chem:c000654825,environment,chemicals,c000654825
chem:c000654848,environment,chemicals,c000654848
chem:c000655605,environment,chemicals,c000655605
chem:c000655644,environment,chemicals,c000655644
chem:c000656253,environment,chemicals,c000656253
chem:c000656258,environment,chemicals,c000656258
chem:c000656713,environment,chemicals,c000656713
chem:c000657144,environment,chemicals,c000657144
chem:c000657331,environment,chemicals,c000657331
chem:c000657350,environment,chemicals,c000657350
chem:c000658,environment,chemicals,c000658
chem:c000666,environment,chemicals,c000666
chem:c000687,environment,chemicals,c000687
chem:c000693,environment,chemicals,c000693
chem:c000705689,environment,chemicals,c000705689
chem:c000705701,environment,chemicals,c000705701
chem:c000705932,environment,chemicals,c000705932
chem:c000706129,environment,chemicals,c000706129
chem:c000706371,environment,chemicals,c000706371
chem:c000706408,environment,chemicals,c000706408
chem:c000706872,environment,chemicals,c000706872
chem:c000706933,environment,chemicals,c000706933
chem:c000706936,environment,chemicals,c000706936
chem:c000707874,environment,chemicals,c000707874
chem:c000708084,environment,chemicals,c000708084
chem:c000708209,environment,chemicals,c000708209
chem:c000708907,environment,chemicals,c000708907
chem:c000709187,environment,chemicals,c000709187
chem:c000709195,environment,chemicals,c000709195
chem:c000709525,environment,chemicals,c000709525
